landing_id,source_data_point_id,first_batch_recommended,priority_score,risk_level,landing_action,suggested_module,domain_label,topic,source_title,source_page,required_fields,trigger_conditions,expected_behavior,test_suggestion
landing-rule-0144,data-point-0144,yes,95,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,门板,下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方式：可抠手开启、五金拉手开启 •尺寸限制：门长度≤1040mm，真格栅下翻门门长度＞765mm时需加竖撑 拼框门高度≤560mm；横纹平板下翻门高度≤500mm，门高＞450m,下翻门,1,product_or_category | height | length | material | door_type | safety_standard,下翻门有什么要求？ | 下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方式：可抠手开启、五金拉手开启 •尺寸限制：门长度≤1040mm，真格栅下翻门门长度＞765mm时需加竖撑 拼框门高度≤560mm；横纹平板下翻门高度≤500mm，门高＞450m怎么处理？ | 门板里关于下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2...怎么说？ | 用户问题或报价参数命中主题：下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方式：可抠手开启、五金拉手开启 •... | 用户问题或报价参数命中来源标题：下翻门,当报价请求命中“下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方式：可抠手开启、五金...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0691,data-point-0691,yes,92,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,床榻,电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。 电动举升器完全打开后可达27°大开角，取放方便。 安装空间要求：内空长度≥1350mm 内空高度≥205mm。 每个电动举升器配有1个电源、1个开关接收器、一个遥控器。 床箱内,电动举升器,1,product_or_category | height | length | wall_or_install_condition,电动举升器有什么要求？ | 电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。 电动举升器完全打开后可达27°大开角，取放方便。 安装空间要求：内空长度≥1350mm 内空高度≥205mm。 每个电动举升器配有1个电源、1个开关接收器、一个遥控器。 床箱内怎么处理？ | 床榻里关于电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫...怎么说？ | 用户问题或报价参数命中主题：电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。 电动举升器完全打开后可达27°大... | 用户问题或报价参数命中来源标题：电动举升器,当报价请求命中“电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。 电动举升器完全打开后...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0074,data-point-0074,yes,92,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜体中的活动层板 默认内退10mm，该活动层板外缘默认跟随柜框边角，边角特殊要求需备注。 •如图2-59，因需避让铰链，活动层板距离固定层的上下间距≤180mm不能打排孔。 •如,活动层板,3,product_or_category | quote_note | safety_standard,活动层板有什么要求？ | •为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜体中的活动层板 默认内退10mm，该活动层板外缘默认跟随柜框边角，边角特殊要求需备注。 •如图2-59，因需避让铰链，活动层板距离固定层的上下间距≤180mm不能打排孔。 •如怎么处理？ | 柜体里关于•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆...怎么说？ | 用户问题或报价参数命中主题：•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜体中的活动层板 默认内退10mm... | 用户问题或报价参数命中来源标题：活动层板,当报价请求命中“•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜体中的活动层板 默认...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0299,data-point-0299,yes,89,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,"栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个符合本文件规定的 楼梯平台(进出平台)。非住宅用产品,与建筑物相连接的一侧可无安全栏板,但制造商应在产 品和使用说明中有符合本文件规定的警示标识。 b) 安全栏板的顶边与上层床",GB 28007-2024 婴幼儿及儿童家具安全技术规范,32,product_or_category | safety_standard,"GB 28007-2024 婴幼儿及儿童家具安全技术规范有什么要求？ | 栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个符合本文件规定的 楼梯平台(进出平台)。非住宅用产品,与建筑物相连接的一侧可无安全栏板,但制造商应在产 品和使用说明中有符合本文件规定的警示标识。 b) 安全栏板的顶边与上层床怎么处理？ | 柜体里关于栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位...怎么说？ | 用户问题或报价参数命中主题：栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个符合本文件规定的 楼梯平台(进出... | 用户问题或报价参数命中来源标题：GB 28007-2024 婴幼儿及儿童家具安全技术规范",当报价请求命中“栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个符合本文件规定的 楼...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0428,data-point-0428,yes,86,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,床榻,"面时,应将这些撑杆拆除。",GB 28007-2024 婴幼儿及儿童家具安全技术规范,38,product_or_category | height | safety_standard,"GB 28007-2024 婴幼儿及儿童家具安全技术规范有什么要求？ | 面时,应将这些撑杆拆除。怎么处理？ | 床榻里关于面时,应将这些撑杆拆除。怎么说？ | 用户问题或报价参数命中主题：面时,应将这些撑杆拆除。 | 用户问题或报价参数命中来源标题：GB 28007-2024 婴幼儿及儿童家具安全技术规范","当报价请求命中“面时,应将这些撑杆拆除。”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。","新增 precheck 回归：输入包含“面时,应将这些撑杆拆除。”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。"
landing-rule-0065,data-point-0065,yes,86,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,•岩板作为台面，边角默认为直边安全角，其他边角需备注；边 角详细尺寸见：“岩板” •当与圆边柜体连接时，可使用R10圆角与圆边柜体相接，也可 使用直角安全角。 •使用内斜边时，应注意岩板需外飘处理与柜体连接。 •岩板做台面时，下有木框架支撑,岩板柜,1,product_or_category | material | quote_note | safety_standard,岩板柜有什么要求？ | •岩板作为台面，边角默认为直边安全角，其他边角需备注；边 角详细尺寸见：“岩板” •当与圆边柜体连接时，可使用R10圆角与圆边柜体相接，也可 使用直角安全角。 •使用内斜边时，应注意岩板需外飘处理与柜体连接。 •岩板做台面时，下有木框架支撑怎么处理？ | 柜体里关于•岩板作为台面，边角默认为直边安全角，其他边角需备注；边...怎么说？ | 用户问题或报价参数命中主题：•岩板作为台面，边角默认为直边安全角，其他边角需备注；边 角详细尺寸见：“岩板” •当与圆边柜体... | 用户问题或报价参数命中来源标题：岩板柜,当报价请求命中“•岩板作为台面，边角默认为直边安全角，其他边角需备注；边 角详细尺寸见：“岩板” •...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•岩板作为台面，边角默认为直边安全角，其他边角需备注；边 角详细...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0010,data-point-0010,yes,90,P1-影响能否下单,接入报价计算,pricing_calculation:cabinet_structure_adjustment,柜体,高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=700~900mm 双模块 W=1400 -1800mm •高柜高度限制： H=1800 或2000mm •高柜深度限制： D≤300mm •所有高柜模块均只有最下排开放区有背板 (不可,模块卡座书柜定制设计指引,3,product_or_category | height | width | depth | material | door_type,模块卡座书柜定制设计指引有什么要求？ | 高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=700~900mm 双模块 W=1400 -1800mm •高柜高度限制： H=1800 或2000mm •高柜深度限制： D≤300mm •所有高柜模块均只有最下排开放区有背板 (不可怎么处理？ | 柜体里关于高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=7...怎么说？ | 用户问题或报价参数命中主题：高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=700~900mm 双模块 W=1400... | 用户问题或报价参数命中来源标题：模块卡座书柜定制设计指引,当报价请求命中“高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=700~900mm 双模块 W...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“高柜模块 高柜设计要求： •高柜宽度限制：单模块 W=700~9...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0079,data-point-0079,yes,90,P1-影响能否下单,接入报价计算,pricing_calculation:cabinet_structure_adjustment,柜体,圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2600mm时可自行分段或不分段，＞2600mm时需要随柜体断开，选用圆弧侧板的时候挡条应为弧形 挡条； 顶部岩板 也为弧形 圆弧侧板俯视尺寸图挡条需≥50mm， 挡条牙称外露需≥15m,圆弧侧板,1,product_or_category | height | material,圆弧侧板有什么要求？ | 圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2600mm时可自行分段或不分段，＞2600mm时需要随柜体断开，选用圆弧侧板的时候挡条应为弧形 挡条； 顶部岩板 也为弧形 圆弧侧板俯视尺寸图挡条需≥50mm， 挡条牙称外露需≥15m怎么处理？ | 柜体里关于圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2...怎么说？ | 用户问题或报价参数命中主题：圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2600mm时可自行分段或不分段，＞260... | 用户问题或报价参数命中来源标题：圆弧侧板,当报价请求命中“圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2600mm时可自行分段或不分...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“圆弧侧板 •圆弧R=50mm不可做其他弧度；柜体高度≤2600m...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0122,data-point-0122,yes,90,P1-影响能否下单,接入报价计算,pricing_calculation:door_panel_adjustment,门板,藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm；藤面高度每700mm需加一根 暗称 •门板厚度：22mm •门边框宽度：60mm（外露30mm） •开启方式：可推弹开启、拉手开启。 •特殊要求：藤编门门边框均为45,藤编门,1,product_or_category | height | width | door_type,藤编门有什么要求？ | 藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm；藤面高度每700mm需加一根 暗称 •门板厚度：22mm •门边框宽度：60mm（外露30mm） •开启方式：可推弹开启、拉手开启。 •特殊要求：藤编门门边框均为45怎么处理？ | 门板里关于藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门...怎么说？ | 用户问题或报价参数命中主题：藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm；藤面高度每700mm需... | 用户问题或报价参数命中来源标题：藤编门,当报价请求命中“藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm；藤面高度每...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“藤编门/拱形藤编门 •尺寸限制：单扇门宽≤560mm，门高≤23...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0369,data-point-0369,yes,90,P1-影响能否下单,接入报价计算,pricing_calculation:door_panel_adjustment,门板,针式铰链铝框门 •尺寸限制：305mm≤高度≤3000mm，180mm≤宽度≤500mm •门板厚度：扣手及铰链处厚36mm，其余厚22mm •门边框宽度：上下门框宽31，左右门框宽29 •门边框颜色：黑色\金色，需备注；可定制银色\白色\,针式铰链铝框门,1,product_or_category | height | width | material | door_type | quote_note,针式铰链铝框门有什么要求？ | 针式铰链铝框门 •尺寸限制：305mm≤高度≤3000mm，180mm≤宽度≤500mm •门板厚度：扣手及铰链处厚36mm，其余厚22mm •门边框宽度：上下门框宽31，左右门框宽29 •门边框颜色：黑色\金色，需备注；可定制银色\白色\怎么处理？ | 门板里关于针式铰链铝框门 •尺寸限制：305mm≤高度≤3000m...怎么说？ | 用户问题或报价参数命中主题：针式铰链铝框门 •尺寸限制：305mm≤高度≤3000mm，180mm≤宽度≤500mm •门板... | 用户问题或报价参数命中来源标题：针式铰链铝框门,当报价请求命中“针式铰链铝框门 •尺寸限制：305mm≤高度≤3000mm，180mm≤宽度≤500...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“针式铰链铝框门 •尺寸限制：305mm≤高度≤3000mm，18...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
